Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
Animap,/img/animap-marker-pin.png,,,,AnaDaria - WELT DER STIMME,https://animap.ch/wp-content/uploads/2021/11/WdS-MB2.jpg,<a href='https://animap.ch?p=40649' target='_blank'>https://animap.ch</a>,"RothenBadStrasse 11, 6015 Luzern",47.067684736864,8.2784181833267
Animap,/img/animap-marker-pin.png,,,,Brigitte Harder,https://animap.ch/wp-content/uploads/2021/11/Logo.png,<a href='https://animap.ch?p=40632' target='_blank'>https://animap.ch</a>,"Bahnhofstrasse 18, 8580 Amriswil",47.547288002101,9.3022334575653
Animap,/img/animap-marker-pin.png,,,,Stierlihof Weinbau und Brennerei,/img/animap.png,<a href='https://animap.ch?p=40610' target='_blank'>https://animap.ch</a>,"Stierlihof 2, 6285 Hitzkirch",47.231663028653,8.2580494880676
Animap,/img/animap-marker-pin.png,,,,Smaranaa Energetik,https://animap.ch/wp-content/uploads/2021/11/Logo-1.jpg,<a href='https://animap.ch?p=40608' target='_blank'>https://animap.ch</a>,"Rothenbadstrasse 11, 6015 Luzern",47.067637236311,8.2783323526382
Animap,/img/animap-marker-pin.png,,,,Lomi Lomi Massage - Klaudija Golic,https://animap.ch/wp-content/uploads/2021/11/Lomilomi_KlaudijaGolic.jpg,<a href='https://animap.ch?p=40602' target='_blank'>https://animap.ch</a>,"Münstergasse 20, 8001 Zürich",47.371293750819,8.5443457961082
Animap,/img/animap-marker-pin.png,,,,SAMARA Christine Fässler,/img/animap.png,<a href='https://animap.ch?p=40596' target='_blank'>https://animap.ch</a>,"Buchenweg 2, 8835 Feusisberg",47.18865525494,8.7495267391205
Animap,/img/animap-marker-pin.png,,,,Praxis Vitapol,/img/animap.png,<a href='https://animap.ch?p=40587' target='_blank'>https://animap.ch</a>,"Hauptstrasse 112, 4313 Möhlin",47.554170848373,7.8507077693939
Animap,/img/animap-marker-pin.png,,,,Swiss social education society,https://animap.ch/wp-content/uploads/2021/11/ACBC571B-E472-4E89-B25D-E4C3D7C5F990.png,<a href='https://animap.ch?p=40592' target='_blank'>https://animap.ch</a>,"Hauptstrasse 62, 8269 Fruthwilen",47.65959934656808,9.064974982931185
Animap,/img/animap-marker-pin.png,,,,pibit AG,https://animap.ch/wp-content/uploads/2021/11/home_logo.png,<a href='https://animap.ch?p=40577' target='_blank'>https://animap.ch</a>,"Oberer Graben 4, 8400 Winterthur",47.498542756593,8.7314835190773
Animap,/img/animap-marker-pin.png,,,,ALOHA OASE,/img/animap.png,<a href='https://animap.ch?p=40559' target='_blank'>https://animap.ch</a>,"Brunaustrasse 174, 8951 Fahrweid",47.41128543297,8.4179359674454
